index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K)
26,coords_1Kps_010_0212,6.242511e+04,5.376162e-01,2.238803e+04,2.238188e+04,1.119427e+01,6.420400e+04,7.539638e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.238188e+04,2.238188e+04,2.238188e+04
27,coords_1Kps_010_0307,1.706617e+08,5.669210e+00,1.459160e+08,5.233622e+07,2.115786e-14,1.892348e-06,4.230494e-02,7.616831e-11,6.789299e-03,1.000000e+00,3.986362e-03,3.553263e+05,5.233622e+07
28,coords_1Kps_010_0410,7.062930e+03,1.308019e+01,6.579330e+03,6.578799e+03,1.809601e+01,6.465273e+04,5.939965e+06,1.000000e+00,1.000000e+00,1.000000e+00,6.578799e+03,6.578799e+03,6.578799e+03
29,coords_1Kps_010_0506,6.145399e+03,2.713154e+00,4.537493e+03,4.537241e+03,5.224901e+00,2.718115e+04,3.049813e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.537241e+03,4.537241e+03,4.537241e+03
30,coords_1Kps_010_0813,4.181803e+04,1.374234e+00,2.460443e+04,2.459701e+04,2.134569e+00,1.681597e+04,2.406942e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.459701e+04,2.459701e+04,2.459701e+04
31,coords_1Kps_010_0911,2.956057e+03,1.786495e-01,4.632104e+02,4.632078e+02,1.868319e+00,1.302080e+04,1.707677e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.632078e+02,4.632078e+02,4.632078e+02
32,coords_1Kps_011_0001,1.508231e+03,1.614456e+00,9.452942e+02,9.452832e+02,1.187459e-04,1.740139e+01,1.148979e+04,3.478529e-01,1.000000e+00,1.000000e+00,3.288195e+02,9.452832e+02,9.452832e+02
33,coords_1Kps_011_0207,7.535645e+03,1.308019e+01,7.019678e+03,7.019074e+03,2.633149e+01,8.551252e+04,7.541672e+06,1.000000e+00,1.000000e+00,1.000000e+00,7.019074e+03,7.019074e+03,7.019074e+03
34,coords_1Kps_011_0304,7.578943e+02,2.245200e+01,7.267727e+02,7.267662e+02,1.138238e-01,1.890639e+03,3.969724e+05,1.000000e+00,1.000000e+00,1.000000e+00,7.267662e+02,7.267662e+02,7.267662e+02
35,coords_1Kps_011_0506,1.445624e+04,2.466976e-02,3.616579e+02,3.616563e+02,3.823203e+01,1.119441e+05,9.322275e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.616563e+02,3.616563e+02,3.616563e+02
36,coords_1Kps_012_0005,5.970964e+04,1.594839e+00,3.725240e+04,3.723540e+04,2.206009e+02,5.705925e+05,4.440641e+07,1.000000e+00,1.000000e+00,1.000000e+00,3.723540e+04,3.723540e+04,3.723540e+04
37,coords_1Kps_012_0006,1.163451e+04,1.026440e+00,6.007489e+03,6.007047e+03,7.402855e-06,1.881939e+00,1.760468e+03,2.629829e-02,1.000000e+00,1.000000e+00,1.579751e+02,6.007047e+03,6.007047e+03
38,coords_1Kps_012_0106,2.229830e+03,1.465127e+01,2.092517e+03,2.092463e+03,1.205713e-01,1.930241e+03,3.967297e+05,1.000000e+00,1.000000e+00,1.000000e+00,2.092463e+03,2.092463e+03,2.092463e+03
39,coords_1Kps_012_0204,4.327552e+04,2.510160e-02,1.101112e+03,1.101097e+03,5.417274e+01,1.525588e+05,1.241044e+07,1.000000e+00,1.000000e+00,1.000000e+00,1.101097e+03,1.101097e+03,1.101097e+03
40,coords_1Kps_013_0001,1.069012e+04,1.059480e-01,1.061099e+03,1.061085e+03,3.125319e+01,9.617445e+04,8.166820e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.061085e+03,1.061085e+03,1.061085e+03
41,coords_1Kps_013_0203,1.809245e+03,1.391803e-01,2.287917e+02,2.287911e+02,1.577420e+01,5.966058e+04,5.682257e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.287911e+02,2.287911e+02,2.287911e+02
42,coords_1Kps_014_0001,1.026104e+04,3.787199e-01,2.899715e+03,2.899612e+03,2.305933e+01,7.794458e+04,7.008489e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.899612e+03,2.899612e+03,2.899612e+03
43,coords_1Kps_014_0207,3.067351e+03,2.707450e+00,2.263550e+03,2.263488e+03,1.972478e+00,1.372159e+04,1.799936e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.263488e+03,2.263488e+03,2.263488e+03
44,coords_1Kps_014_0306,1.646448e+05,1.351134e+01,1.537074e+05,1.534184e+05,6.853814e-08,7.571667e-02,1.556248e+02,2.467069e-04,1.000000e+00,1.000000e+00,3.784938e+01,1.534184e+05,1.534184e+05
45,coords_1Kps_014_0405,3.317262e+04,2.713154e+00,2.449321e+04,2.448586e+04,1.067295e+00,1.010176e+04,1.588293e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.448586e+04,2.448586e+04,2.448586e+04
46,coords_1Kps_014_0509,2.049141e+09,5.146958e-04,1.096405e+06,1.081870e+06,6.280093e-26,1.124714e-14,1.498201e-08,2.260833e-22,4.048970e-11,5.393377e-05,2.445928e-16,4.380460e-05,5.834933e+01
47,coords_1Kps_014_0810,5.579131e+03,4.628069e+00,4.619482e+03,4.619220e+03,3.865969e+01,1.107955e+05,9.111712e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.619220e+03,4.619220e+03,4.619220e+03
48,coords_1Kps_014_0911,1.199829e+04,1.261474e-01,1.391671e+03,1.391647e+03,9.840042e+01,2.553554e+05,1.992510e+07,1.000000e+00,1.000000e+00,1.000000e+00,1.391647e+03,1.391647e+03,1.391647e+03
49,coords_1Kps_015_0005,5.623702e+02,4.625737e+00,4.655983e+02,4.655956e+02,1.084286e+00,9.325271e+03,1.376118e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.655956e+02,4.655956e+02,4.655956e+02
50,coords_1Kps_015_0106,4.908334e+03,6.425645e+00,4.269511e+03,4.269288e+03,1.521740e+01,5.740172e+04,5.443722e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.269288e+03,4.269288e+03,4.269288e+03
51,coords_1Kps_015_0203,3.173593e+04,3.317261e+00,2.460479e+04,2.459737e+04,1.962856e+01,8.558951e+04,8.779165e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.459737e+04,2.459737e+04,2.459737e+04
52,coords_1Kps_015_0407,6.791190e+03,5.987877e-01,2.606350e+03,2.606267e+03,3.848877e-03,1.708857e+02,6.075327e+04,9.999990e-01,1.000000e+00,1.000000e+00,2.606264e+03,2.606267e+03,2.606267e+03
53,coords_1Kps_016_0003,2.975199e+03,9.756123e+00,2.708305e+03,2.708215e+03,1.235099e-03,7.758896e+01,3.353558e+04,9.882788e-01,1.000000e+00,1.000000e+00,2.676471e+03,2.708215e+03,2.708215e+03
54,coords_1Kps_016_0104,5.471781e+03,1.370228e+01,5.113021e+03,5.112701e+03,1.746315e+01,6.516872e+04,6.148207e+06,1.000000e+00,1.000000e+00,1.000000e+00,5.112701e+03,5.112701e+03,5.112701e+03
55,coords_1Kps_016_0205,8.019667e+03,1.790530e+01,7.610991e+03,7.610282e+03,4.285038e+01,1.178394e+05,9.527395e+06,1.000000e+00,1.000000e+00,1.000000e+00,7.610282e+03,7.610282e+03,7.610282e+03
56,coords_1Kps_017_0001,6.489701e+03,1.790530e+01,6.158991e+03,6.158526e+03,3.444898e+01,1.024837e+05,8.629792e+06,1.000000e+00,1.000000e+00,1.000000e+00,6.158526e+03,6.158526e+03,6.158526e+03
57,coords_1Kps_017_0203,9.090399e+03,9.021600e-02,7.798225e+02,7.798151e+02,3.178007e+01,9.368901e+04,7.966512e+06,1.000000e+00,1.000000e+00,1.000000e+00,7.798151e+02,7.798151e+02,7.798151e+02
58,coords_1Kps_018_0003,3.649154e+03,1.422778e+00,2.177634e+03,2.177575e+03,8.103743e+00,3.683083e+04,3.873414e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.177575e+03,2.177575e+03,2.177575e+03
59,coords_1Kps_018_0106,5.588966e+03,1.313110e+00,3.226551e+03,3.226423e+03,4.482474e+01,1.324050e+05,1.104084e+07,1.000000e+00,1.000000e+00,1.000000e+00,3.226423e+03,3.226423e+03,3.226423e+03
60,coords_1Kps_018_0207,3.500835e+04,1.413551e-01,4.487361e+03,4.487114e+03,5.112241e+01,1.413554e+05,1.142604e+07,1.000000e+00,1.000000e+00,1.000000e+00,4.487114e+03,4.487114e+03,4.487114e+03
61,coords_1Kps_018_0405,3.509421e+03,5.216416e+00,2.963265e+03,2.963157e+03,3.902802e+01,1.182158e+05,1.000196e+07,1.000000e+00,1.000000e+00,1.000000e+00,2.963157e+03,2.963157e+03,2.963157e+03
62,coords_1Kps_019_0004,7.482905e+03,1.202521e+01,6.928927e+03,6.928339e+03,4.085878e-06,1.260293e+00,1.268748e+03,1.460151e-02,1.000000e+00,1.000000e+00,1.011642e+02,6.928339e+03,6.928339e+03
63,coords_1Kps_019_0107,8.684842e+03,4.196577e-03,3.774389e+01,3.774387e+01,1.232367e-04,1.459732e+01,8.859328e+03,3.583114e-01,1.000000e+00,1.000000e+00,1.352406e+01,3.774387e+01,3.774387e+01
64,coords_1Kps_019_0205,7.050089e+04,8.465120e-01,3.300978e+04,3.299643e+04,6.284158e+00,2.968799e+04,3.169733e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.299643e+04,3.299643e+04,3.299643e+04
65,coords_1Kps_019_0308,5.129000e+03,1.857263e+01,4.876559e+03,4.876268e+03,4.085272e+01,1.260732e+05,1.074842e+07,1.000000e+00,1.000000e+00,1.000000e+00,4.876268e+03,4.876268e+03,4.876268e+03
66,coords_1Kps_019_0609,4.307161e+03,5.165343e-01,1.505308e+03,1.505281e+03,9.868793e-02,1.587805e+03,3.237291e+05,1.000000e+00,1.000000e+00,1.000000e+00,1.505281e+03,1.505281e+03,1.505281e+03
67,coords_1Kps_020_0003,1.735105e+03,8.852362e+00,1.565121e+03,1.565091e+03,9.338691e-01,8.052751e+03,1.183236e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.565091e+03,1.565091e+03,1.565091e+03
68,coords_1Kps_020_0105,1.416402e+04,1.516589e+01,1.331963e+04,1.331746e+04,2.168977e+01,7.325820e+04,6.649982e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.331746e+04,1.331746e+04,1.331746e+04
69,coords_1Kps_020_0204,4.196267e+03,9.761881e-01,2.114111e+03,2.114056e+03,3.008462e+00,1.797293e+04,2.172509e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.114056e+03,2.114056e+03,2.114056e+03
70,coords_1Kps_021_0001,3.788469e+04,5.797873e+00,3.249603e+04,3.248310e+04,2.552502e-01,3.202815e+03,5.706969e+05,1.000000e+00,1.000000e+00,1.000000e+00,3.248310e+04,3.248310e+04,3.248310e+04
71,coords_1Kps_021_0305,6.884840e+03,9.206359e-01,3.367800e+03,3.367661e+03,3.456460e+01,1.015939e+05,8.540055e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.367661e+03,3.367661e+03,3.367661e+03
