index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),r1,r2,shaft_length,theta1,theta2,torsion
20,coords_1Kps_009_0002,8007.514,0.7801174,3586.92,3586.762,2.329104,15730.02,2019575.0,1.0,1.0,1.0,3586.762,3586.762,3586.762,5.476390976572677,0.04248666747778751,4.4665253926682205,174.50658152452365,-1.4965975445527278,26.382444789056443
21,coords_1Kps_009_0008,6903.818,0.1748893,1062.554,1062.54,29.1517,94185.39,8296664.0,1.0,1.0,1.0,1062.54,1062.54,1062.54,5.276254250312947,-0.18306024881604577,4.1739459837652735,202.93772814148406,-10.337010099947676,31.620311264654145
22,coords_1Kps_009_0103,6867.284,10.90486,6310.881,6310.393,7.624063,36247.03,3859195.0,1.0,1.0,1.0,6310.393,6310.393,6310.393,5.380156183270646,-0.0809023597592673,4.397606451664928,172.51015655798972,8.073406001224683,27.219724270772975
23,coords_1Kps_009_0408,13041.79,0.3673265,3605.314,3605.154,0.1523052,2518.927,514784.5,1.0,1.0,1.0,3605.154,3605.154,3605.154,5.361954125923056,-0.21916742663248634,4.318629584309703,191.97870628562424,-0.8142587575740521,16.74031431756287
24,coords_1Kps_009_0506,531038.5,0.002731666,1504.536,1504.508,0.005018,232.2239,82184.64,1.0,1.0,1.0,1504.508,1504.508,1504.508,5.411491967812237,-0.08389308257322448,4.263451314900289,202.46062128777805,-10.320277671851997,29.22666429428717
25,coords_1Kps_010_0001,10624.59,1.658849,6726.22,6725.666,31.80223,100647.1,8724123.0,1.0,1.0,1.0,6725.666,6725.666,6725.666,5.175697579307922,0.020303146211654965,4.194157693163789,240.13689696548477,5.0612972091990684,38.35883366556013
26,coords_1Kps_010_0212,62425.11,0.5376162,22388.03,22381.88,11.19427,64204.0,7539638.0,1.0,1.0,1.0,22381.88,22381.88,22381.88,5.19846301986238,0.1482901733942512,4.45002776796564,180.13452614090653,6.646484841097092,17.190833616664566
27,coords_1Kps_010_0307,170661700.0,5.66921,145916000.0,52336220.0,2.115786e-14,1.892348e-06,0.04230494,7.616831e-11,0.006789299,1.0,0.003986362,355326.3,52336220.0,5.386251845720712,-0.024069571459604866,4.397561325453575,175.40700379443865,-3.2464941929224977,46.790856807291966
28,coords_1Kps_010_0410,7062.93,13.08019,6579.33,6578.799,18.09601,64652.73,5939965.0,1.0,1.0,1.0,6578.799,6578.799,6578.799,5.349554202464139,0.11713359853711891,4.304348529483411,193.0344187151623,9.064974731463352,4.2759795019087345
29,coords_1Kps_010_0506,6145.399,2.713154,4537.493,4537.241,5.224901,27181.15,3049813.0,1.0,1.0,1.0,4537.241,4537.241,4537.241,5.309000001316705,0.04039252677468763,4.339668027289069,160.09031763998317,-2.534664287139435,2.259260012577616
30,coords_1Kps_010_0813,41818.03,1.374234,24604.43,24597.01,2.134569,16815.97,2406942.0,1.0,1.0,1.0,24597.01,24597.01,24597.01,5.056146180257768,0.16776477897574438,4.5268525355924725,181.96258499924562,-0.945266782220969,18.9776275767463
31,coords_1Kps_010_0911,2956.057,0.1786495,463.2104,463.2078,1.868319,13020.8,1707677.0,1.0,1.0,1.0,463.2078,463.2078,463.2078,5.158761509365673,0.06550445501783786,3.803624745817139,156.48286663736357,19.023142803417215,30.338257358611344
32,coords_1Kps_011_0001,1508.231,1.614456,945.2942,945.2832,0.0001187459,17.40139,11489.79,0.3478529,1.0,1.0,328.8195,945.2832,945.2832,5.027678741759236,0.06768044224339942,4.31879660526807,188.7550225462117,-1.4441445965239978,7.2021269507876475
33,coords_1Kps_011_0207,7535.645,13.08019,7019.678,7019.074,26.33149,85512.52,7541672.0,1.0,1.0,1.0,7019.074,7019.074,7019.074,5.3281817054317315,-0.06143450416983853,4.4201073146474625,155.64793088924068,-5.746989291341677,11.538020212598802
34,coords_1Kps_011_0304,757.8943,22.452,726.7727,726.7662,0.1138238,1890.639,396972.4,1.0,1.0,1.0,726.7662,726.7662,726.7662,5.096993925115712,0.09873963810709885,4.5313139934602855,213.82111169254944,3.2739631296142164,5.476487614883006
35,coords_1Kps_011_0506,14456.24,0.02466976,361.6579,361.6563,38.23203,111944.1,9322275.0,1.0,1.0,1.0,361.6563,361.6563,361.6563,4.995142602853424,0.10496023026239731,4.165673268935317,149.19325659168493,-14.370323199969917,30.670509480532644
36,coords_1Kps_012_0005,59709.64,1.594839,37252.4,37235.4,220.6009,570592.5,44406410.0,1.0,1.0,1.0,37235.4,37235.4,37235.4,5.421314571087576,0.10050123438800629,4.390721151769946,212.5645744887371,9.890875358524085,9.906251052945061
37,coords_1Kps_012_0006,11634.51,1.02644,6007.489,6007.047,7.402855e-06,1.881939,1760.468,0.02629829,1.0,1.0,157.9751,6007.047,6007.047,5.190324205527665,-0.09850013758262799,4.5126030070463,176.6539914654603,8.988016895715006,31.980624971860887
38,coords_1Kps_012_0106,2229.83,14.65127,2092.517,2092.463,0.1205713,1930.241,396729.7,1.0,1.0,1.0,2092.463,2092.463,2092.463,5.378164403305892,0.15892527465888007,3.9659374914096914,192.55609394175826,0.665601668088712,6.291600319786718
39,coords_1Kps_012_0204,43275.52,0.0251016,1101.112,1101.097,54.17274,152558.8,12410440.0,1.0,1.0,1.0,1101.097,1101.097,1101.097,5.287188710501948,-0.1111433681194054,4.220695354963862,186.70286291272907,3.9895541457306507,2.106435477061405
40,coords_1Kps_013_0001,10690.12,0.105948,1061.099,1061.085,31.25319,96174.45,8166820.0,1.0,1.0,1.0,1061.085,1061.085,1061.085,5.224078448206146,-0.11079961907899039,4.378430252227961,201.88411928837826,5.589994394990626,7.233327549078641
41,coords_1Kps_013_0203,1809.245,0.1391803,228.7917,228.7911,15.7742,59660.58,5682257.0,1.0,1.0,1.0,228.7911,228.7911,228.7911,5.410839809032914,-0.041473651691807056,4.348003907869679,202.8018206426551,-1.4794192345291606,1.9911992489974577
42,coords_1Kps_014_0001,10261.04,0.3787199,2899.715,2899.612,23.05933,77944.58,7008489.0,1.0,1.0,1.0,2899.612,2899.612,2899.612,5.01178353427411,0.04657679871918319,4.59118633289099,183.24227740080008,-4.021605153340204,6.61398131084021
43,coords_1Kps_014_0207,3067.351,2.70745,2263.55,2263.488,1.972478,13721.59,1799936.0,1.0,1.0,1.0,2263.488,2263.488,2263.488,5.2016690862492725,0.08769764768022448,4.578564522757788,198.6135919887259,7.037124548461975,26.86332282750315
44,coords_1Kps_014_0306,164644.8,13.51134,153707.4,153418.4,6.853814e-08,0.07571667,155.6248,0.0002467069,1.0,1.0,37.84938,153418.4,153418.4,5.235171123726527,0.1863145634348804,3.6180451569025505,166.80124974393075,40.558501899661564,55.49309703209724
45,coords_1Kps_014_0405,33172.62,2.713154,24493.21,24485.86,1.067295,10101.76,1588293.0,1.0,1.0,1.0,24485.86,24485.86,24485.86,5.18674001999951,-0.1391824871723708,4.359145848451851,182.03468255284736,5.1075871475696175,2.031230103420529
46,coords_1Kps_014_0509,2049141000.0,0.0005146958,1096405.0,1081870.0,6.280093e-26,1.124714e-14,1.498201e-08,2.260833e-22,4.04897e-11,5.393377e-05,2.445928e-16,4.38046e-05,58.34933,5.24176097327881,0.0248853355047971,4.467611984975195,154.97022112827145,4.328239015314097,18.39104184752605
47,coords_1Kps_014_0810,5579.131,4.628069,4619.482,4619.22,38.65969,110795.5,9111712.0,1.0,1.0,1.0,4619.22,4619.22,4619.22,5.321632685249357,0.15013679191249407,3.9391521282790025,191.13850014780314,4.882782313993189,20.010422932203102
48,coords_1Kps_014_0911,11998.29,0.1261474,1391.671,1391.647,98.40042,255355.4,19925100.0,1.0,1.0,1.0,1391.647,1391.647,1391.647,5.175380717978548,0.0245459492351352,4.423921416753015,183.19689547819897,-4.390679463587588,43.71088097811714
49,coords_1Kps_015_0005,562.3702,4.625737,465.5983,465.5956,1.084286,9325.271,1376118.0,1.0,1.0,1.0,465.5956,465.5956,465.5956,5.471176965754923,0.17777459488002423,4.3070365529948775,214.1301641241223,-6.210184749194283,36.2398556573742
50,coords_1Kps_015_0106,4908.334,6.425645,4269.511,4269.288,15.2174,57401.72,5443722.0,1.0,1.0,1.0,4269.288,4269.288,4269.288,5.076150133385445,0.1222165493332712,4.321597509694764,166.14996086164896,13.043672213467033,15.596966763689673
51,coords_1Kps_015_0203,31735.93,3.317261,24604.79,24597.37,19.62856,85589.51,8779165.0,1.0,1.0,1.0,24597.37,24597.37,24597.37,5.0750275735239665,-0.09745502785808124,4.542532583779056,169.7800783451197,6.701742938785202,12.246623748430624
52,coords_1Kps_015_0407,6791.19,0.5987877,2606.35,2606.267,0.003848877,170.8857,60753.27,0.999999,1.0,1.0,2606.264,2606.267,2606.267,5.428352272081973,-0.1788355051785664,4.2108916045960205,168.54467956994938,-4.498130022373871,16.81480567337402
53,coords_1Kps_016_0003,2975.199,9.756123,2708.305,2708.215,0.001235099,77.58896,33535.58,0.9882788,1.0,1.0,2676.471,2708.215,2708.215,5.174333731055005,-0.16079486818231814,4.444690117634347,164.64658447336902,6.108113108698632,3.7819444508832074
