index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),Fa_theta_plus,Fa_theta_minus,Fa_torsion,Fa_len_plus,Fa_len_minus,Fb_theta_plus,Fb_theta_minus,Fb_torsion,Fb_len_plus,Fb_len_minus,O_theta_plus,O_theta_minus,O_torsion,O_len_plus,O_len_minus,center_torsion_plus,center_torsion_minus,center_height,center_r_plus,center_r_minus
0,coords_1Kps_001_0001,4154.248,0.3582236,1127.679,1127.664,17.99087,63998.07,5905110.0,1.0,1.0,1.0,1127.664,1127.664,1127.664,3.2931715824661962,-0.07710035116663838,0.31167764712096563,5.483570324251346,-0.10206440452961862,3.523058604961027,0.12502185227984808,0.19811116134604495,5.455464212456032,-0.1035168255188248,1.2848626571370454,-0.358127666463645,0.32288338826541046,6.528657354859474,1.0922532466169663,6.208192165875972,0.07499314130361423,-0.2117453213376945,5.510534441255232,-2.070576768608664
1,coords_1Kps_002_0002,7842.454,0.1748893,1207.018,1207.0,60.89289,162649.6,12915300.0,1.0,1.0,1.0,1207.0,1207.0,1207.0,3.8428691171902134,0.363175468652144,0.23280725914347938,5.402660736280615,-0.06552254155490544,3.764247763540829,-0.21631140157503492,0.31524551107179166,5.157856699156499,-0.0072578348301357565,1.5412210349905826,-0.5045244631318471,0.30324650016853394,6.136771846587946,0.4640889146764504,6.270119658660451,0.013065648519135387,0.20756440866264755,5.049563189186802,-1.6295902939725717
2,coords_1Kps_002_0103,9576.523,1.02644,4944.847,4944.548,5.152252e-06,1.538175,1559.147,0.01837715,1.0,1.0,90.86669,4944.548,4944.548,2.832844280289487,-0.13822422892238473,0.10507386211288201,5.386619493162943,0.04514168225705273,3.071761344944761,0.06701168716836037,0.03798448598002589,5.489241338607103,-0.13294892676101178,1.0042261346585772,-0.20958357161122426,0.2713153091677146,6.843150816544721,1.4620995941533206,6.137602167955256,0.14558313922432964,-0.08009439404120633,5.796058663746681,-2.4158233245432115
3,coords_1Kps_003_0003,59065.0,0.5534943,21580.01,21574.3,22.12001,82010.95,7720031.0,1.0,1.0,1.0,21574.3,21574.3,21574.3,2.965641389310259,0.43203254980089323,0.5006113158438237,5.438158454170473,0.024399987871481343,3.524933725709241,-0.11635645858981292,0.46863132989217726,5.375639165470627,0.13908138876272735,1.2129590969035637,-0.29962136083515234,0.2540580245178993,6.432921581897263,1.0379492115138915,6.086754921862402,0.19643038531718338,0.34582348788938105,5.705211891692915,-2.2248562253915773
4,coords_1Kps_003_0102,2904.114,0.9388152,1434.774,1434.749,50.70531,138567.9,11089680.0,1.0,1.0,1.0,1434.749,1434.749,1434.749,3.1549481228630922,0.05460444375185558,0.09934632070996514,5.3209450365503,-0.05770609268275084,3.4127710172171746,-0.037348711874037654,0.06725470236364575,5.461578809387369,0.024317898363878765,1.0989320010826733,-0.2704569936692616,0.04352541653837221,6.704262830777127,1.3669847730323355,6.240064358154813,0.04312094902477348,0.06638901305299326,5.704681250593256,-2.2901140564622047
5,coords_1Kps_004_0007,3872.461,0.004196577,16.82952,16.82952,0.002077987,98.64317,36803.8,0.9994362,1.0,1.0,16.82003,16.82952,16.82952,2.889765880788606,-0.18555790839114872,0.24512823627452665,5.420175740544954,0.07475846579455458,3.410491669776286,0.10260984622009417,0.2754343262980066,5.441960633717295,-0.05013420709709138,1.076476309661095,-0.2648637343673702,0.4555855468500943,6.723997049838282,1.34990477336963,6.124176020224885,0.15900924480785195,-0.24818871012058769,5.623735194757457,-2.2294610959257213
6,coords_1Kps_004_0105,1768.898,0.1684243,263.6842,263.6833,11.30033,46316.32,4558299.0,1.0,1.0,1.0,263.6833,263.6833,263.6833,3.6090559765525514,0.0038846182350067426,0.14656523006095937,5.508376096276227,-0.19830136704689227,3.8325157064326514,-0.3418136144205399,0.22943487565067033,5.063852994646581,0.002815358390551026,1.5791395414504408,-0.57635582246167,0.08182607576621785,6.247238516702897,0.7407581329528545,6.146339161091941,0.1368461460876449,0.19587310264353716,4.935944282458678,-1.632054090214995
7,coords_1Kps_004_0204,20079.33,9.148696,18169.86,18165.82,0.0002234798,22.64512,12874.38,0.5527006,1.0,1.0,10040.26,18165.82,18165.82,2.9314042054326204,0.1241067816544601,0.20750558590603774,5.443987835560016,0.12478275957711737,3.073261643009684,-0.11602287948310308,0.2655634537541471,5.515403473568403,-0.07877321195377185,0.9427640678934235,-0.18277617419078923,0.006731162634521912,6.751572811590762,1.4057263765287993,6.211790291975905,0.0713950152036813,0.028007772751092078,5.858743322368339,-2.4475027222177146
8,coords_1Kps_004_0306,5109.532,5.941918,4397.925,4397.688,48.49293,129596.2,10319730.0,1.0,1.0,1.0,4397.688,4397.688,4397.688,3.143210238392043,-0.06030310897071933,0.09599809721628466,5.309540391907554,-0.09969921916533808,2.9062891992804345,-0.09000036784555077,0.052277612191433225,5.585139890300587,0.03548201760248837,1.0403888488735276,-0.240202901349036,0.01782413484420247,6.75662558880129,1.6052006865048392,6.18852712885324,0.09465813617949825,-0.07717610544643284,5.719557475993181,-2.2777994301102336
9,coords_1Kps_005_0001,3974.232,14.89961,3733.33,3733.159,0.02037695,550.9977,149667.6,1.0,1.0,1.0,3733.159,3733.159,3733.159,3.0406425605935357,0.10202805186553343,0.4321127747885781,5.35247567004545,-0.044558518506630396,3.0487129052475863,-0.17048750786971256,0.5482351805093758,5.385399103942931,-0.12448288256095807,1.0379145082809313,-0.22285380963301782,0.44756493833465105,6.85144653988564,1.384350164477575,6.237105926421924,0.046079380757662936,0.44074125897511646,5.812051233567966,-2.3508825716273227
