SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
O=C(Nc1c2c(nc(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2)C([N+H3])CC,1757,909,666.56122,666.56122,4,16,1,1,21,4,3,5,2.0451658,-2.0242422,-2.5439396,7.8883815,4,2.56252,107.01,1.2601047,439.56
Fc1cc2c(cc1)CN(c1[n+H]c3c(c(NCC[N+H3])c1)cccc3)CCC2,1757,3593,607.47919,607.47919,0,16,4,0,21,4,0,4,1.1036882,-2.5153384,-1.0956728,6.4571443,4,2.6659701,57.049999,1.2528173,352.457
Fc1cc2c(NCC[N+H3])cc(N3Cc4c(cccc4)CCC3)[n+H]c2cc1,1749,3757,604.02985,604.02985,0,16,4,0,21,4,0,4,1.1318028,-2.4844489,-1.1196388,6.2302971,4,2.6659701,57.049999,1.2019688,352.457
[N+H3]CC(Nc1nc(-c2n[n-]c3nc(NCCN4CCOCC4)ncc23)ccn1)c1cscc1,1743,6389,751.35199,751.35199,6,20,1,2,19,10,1,9,-1.9414039,-5.314827,-1.6945857,10.379642,5,0.73519999,128.62,1.5605119,466.57401
O=C(Nc1cc(CC[N+H3])cnc1)c1cc2N=C(N)CC(C(=O)N(CCC)CCC)=Cc2cc1,1740,4004,752.45807,752.45807,4,12,1,2,22,6,2,11,0.48946154,-1.929081,-2.4732096,9.5627222,3,2.54267,128.32001,1.2137927,449.57898
Clc1c(NC(=O)C=2C(=O)Nc3nc(OC)ncc3C=2)cc(C(=O)NCCC[N+H3])cc1,1737,2366,693.1983,693.1983,5,12,1,3,15,6,4,9,-0.26481986,-2.7513983,-2.0354362,7.4851213,3,0.47459999,149.95,0.75250137,431.85999
O=C(Nc1c2c(nc(N3Cc4c(cccc4)CCC3)c1)cccc2)C[N+H3],1727,2847,593.16882,593.16882,2,16,1,1,19,4,1,4,2.1542633,-2.1217906,-1.8185872,8.0196629,4,2.6343701,72.870003,1.1413659,347.44199
O=C(N)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([N+H3])[C@](C)(C3)CC2,1623,851,448.5997,448.5997,1,6,1,1,17,2,1,1,-0.76550925,-2.7467878,-0.47949681,9.8866119,4,1.85192,70.730003,0.99870336,285.41098
FC1(F)c2c(cccc2)CN(c2[n+H]c3c(c(NCC([N+H3])(C)C)c2)cc(C)cc3)CC1,1587,2114,650.65503,650.65503,0,16,4,0,25,4,0,4,1.8453879,-1.3617145,-2.0168278,6.4362884,4,4.47472,57.049999,1.2675693,412.52798
FC(F)(C[N+H3])CNc1c2c([n+H]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,1583,2492,657.31171,657.31171,2,16,4,0,23,4,2,5,2.5261626,-3.0024929,-1.3841729,6.4798517,4,2.3117199,91.190002,0.64083308,448.53799
O=C(N)c1c(Nc2nc(C(C)(C)C)ccc2)cc(NCC2([N+H3])CC2)nn1,1577,1181,598.10565,598.10565,4,12,1,3,15,7,1,7,-1.3539104,-4.201056,-0.58249432,8.9696608,3,1.198,133.46001,1.0416782,356.45398
