SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
O=C1N([C@H]2[C@H]([C@H]([N+H3])C)C[C@@H]([C@@H](O)CC)O2)C=2N=C(N)NC(=O)C=2S1,690,521,535.8186,535.8186,5,0,1,3,10,5,4,4,-2.6361701,-5.5795541,0.47922087,8.7971649,3,-1.0987,144.89,0.9872179,356.427
O=C(NC(c1ccccc1)c1ccccc1)CC[N+H3],670,840,468.82019,468.82019,1,12,1,1,15,2,1,6,1.1621305,-2.2433894,-0.5669868,8.6948891,2,1.6197,56.740002,0.98021072,255.34099
O=C(N)c1c(Nc2nc(C(C#N)(C)C)ccc2)cc(N[C@H]2[C@@H]([N+H3])CCCC2)nn1,666,450,636.88556,636.88556,5,12,1,3,16,8,1,7,-1.4687034,-4.198163,-1.0342997,9.192358,3,1.480284,157.25,0.99640524,395.491
Clc1cc2N=C([C@H](N(C(=O)c3ccc(C)cc3)CCC[N+H3])C(C)C)N(Cc3ccccc3)C(=O)c2cc1,658,244,719.68152,719.68152,3,18,1,0,28,4,2,10,4.4275761,1.9717883,-5.4124484,9.6560125,4,5.3998199,80.620003,0.99893296,518.08099
OC[C@@]1(C)[C@H]2[C@@](C)(c3c(c(C[N+H3])c(C(C)C)cc3)CC2)CCC1,649,467,478.26526,478.26526,1,6,1,1,21,1,1,3,3.2621346,0.68202192,-2.0321386,9.3775682,3,3.8208699,47.869999,0.99582541,316.509
Brc1cc2c(c(CN3C(=O)[C@@H](NC(=O)[C@@H]([N+H3])[C@@H](O)C)COc4c3ccc(C)c4)c(OC)cc2)cc1,638,107,724.54572,724.54572,5,16,1,2,25,3,5,7,4.2673364,-0.3558014,-3.5364931,6.8227406,4,2.58742,115.74,0.39935455,543.43799
O=C1[C@]2(C)C[C@]3([C@@H](C[N+H3])c4c(C)cccc4[C@H]3CC2)C1,629,1696,436.4769,436.4769,1,6,1,0,17,1,1,1,0.2326027,-2.1693616,-0.78940171,9.6157084,4,2.5671201,44.709999,0.99758321,270.396
S(=O)(=O)(c1cc(F)ccc1)c1cc2c(C(CCC[N+H3])CCC2)cc1,622,790,552.26526,552.26526,2,12,1,0,20,1,2,5,1.7055317,-0.2901631,-2.3310139,10.114479,3,3.1004701,61.779999,0.99923229,348.46201
S(=O)(=O)(c1cc(F)ccc1)c1cc2c(C(CC[N+H3])CCC2)cc1,616,854,525.80078,525.80078,2,12,1,0,19,1,2,4,1.3317388,-0.78667724,-2.0101976,9.981101,3,2.7103701,61.779999,0.99895662,334.435
S(=O)(=O)(c1cc2c(C(CCC[N+H3])CCC2)cc1)c1ccccc1,610,560,539.08539,539.08539,2,12,1,0,19,1,2,5,1.5668314,-0.42876381,-2.1763389,10.114583,3,2.96137,61.779999,0.99923247,330.47198
FC(F)(F)c1ncc(NC(=O)Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)cc1,607,1685,558.36163,558.36163,2,12,1,2,19,4,1,5,0.16433546,-2.0112109,-1.4291447,9.775053,3,3.15504,81.660004,0.99832577,351.35199
O(CCC[N+H3])c1c(c(OC)ccc1)-c1[nH]nc(Nc2ncc(C#N)nc2)c1,599,1131,655.77393,655.77393,7,17,1,3,15,7,2,9,-0.49438924,-2.9540424,-1.4517865,9.6093512,3,1.501384,136.38,0.99789321,366.405
O=C(OC)[C@@]1(C)[C@H]2[C@@](C)(c3c(C([N+H3])C2)cc(C(C)C)cc3)CCC1,596,477,518.73615,518.73615,1,6,1,0,20,1,2,3,2.7635624,0.17103878,-2.0984533,9.2309532,3,3.8292999,53.939999,0.9941588,330.492
O=C(Nc1cc2[nH]c(-c3cn(C)nc3)c3c2c(C(=O)NN=C3)c1)[C@H]([N+H3])C1CCCCC1,594,1283,661.2403,661.2403,4,14,1,3,19,7,2,5,2.1953673,-2.1646147,-2.3132248,7.2849026,5,2.1342001,131.81,0.65781045,420.49698
O=C(OC)[C@@]1(C)[C@H]2[C@@](C)(c3c(c(C[N+H3])c(C(C)C)cc3)CC2)CCC1,591,710,519.72827,519.72827,1,6,1,0,21,1,2,4,3.360482,0.77357566,-2.4457994,9.3706675,3,4.0015702,53.939999,0.99575883,344.51898
O=C(NC(c1ccccc1)c1ccccc1)C[N+H3],572,931,433.63309,433.63309,1,12,1,1,14,2,1,5,2.0873921,-2.4367232,-0.39212689,7.3190503,2,1.2296,56.740002,0.67582285,241.314
[N+H3][C@@]1(C)[C@H]2[C@@](C)([C@H]3C(C=C(C(C)C)CC3)=CC2)CCC1,569,28,453.5545,453.5545,0,0,1,0,19,1,0,1,2.094444,0.30714563,-2.3653917,10.059325,3,4.1159,27.639999,0.99912846,274.47198
Fc1c(C#C[C@@H](O)[C@@H]([N+H3])[C@H](O)C)c2/C(=C/c3c(OC)cc[nH]3)/C(=O)Nc2cc1,563,1264,607.07666,607.07666,4,11,1,4,20,3,4,6,1.1985844,-2.8178585,-1.0861255,7.7991357,3,0.35880801,122.22,0.86295789,386.40298
FC(F)(F)c1ccc(OC(CC[N+H3])c2ccccc2)cc1,547,936,489.02698,489.02698,1,12,1,0,19,1,1,6,1.5435475,-1.1190199,-1.2592745,9.4328089,2,3.8645,36.869999,0.99632215,296.31198
O=C(N)c1c(Nc2nc(C(O)(C)C)ccc2)cc(N[C@H]2[C@@H]([N+H3])CCCC2)nn1,529,812,615.71008,615.71008,5,12,1,4,16,7,2,6,-1.8887436,-4.6173253,-0.36367756,9.1921806,3,1.2180001,153.69,0.99884063,386.47998
FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@H]([N+H3])Cc1c(F)cc(F)c(F)c1)CC2,514,275,590.17053,590.17053,3,11,1,0,19,5,1,6,1.5106186,-2.3932812,-1.5482652,8.0065632,3,2.14397,78.660004,0.91033208,408.32599
O=C(NCC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([N+H3])[C@](C)(C3)CC2,508,127,496.74579,496.74579,1,6,1,1,19,2,1,3,0.061389223,-1.9167478,-1.1370467,9.888814,4,2.5027201,56.740002,0.99870992,313.465
O=C(N[C@H]1[C@H](OC(CC)CC)C=C(C(=O)NCC[N+H3])C[C@@H]1[N+H3])C,505,895,576.09131,576.09131,3,0,2,2,14,4,3,10,-2.5739431,-9.9664536,3.873383,7.7613454,1,-1.6364,122.71,1.8485516,328.457
O=C(N)c1c(Nc2nc(CC)ccc2)cc(N[C@H]2[C@@H]([N+H3])CCCC2)nn1,500,724,595.31561,595.31561,4,12,1,3,15,7,1,6,-1.5885388,-4.2579517,-0.5298363,9.2280521,3,1.24147,133.46001,1.0518662,356.45398
[N+H3]Cc1cc(CC2N(c3cc4c([nH]nc4)cc3)CC[N+H2]C2)ccc1,500,621,536.85736,536.85736,2,15,2,2,19,5,0,4,-1.9119438,-6.7238131,1.2887523,8.4858437,4,0.56586999,76.169998,1.9682015,323.444
[N+H3]Cc1ccc(C(C)(C)C)cc1,498,726,340.98087,340.98087,0,6,1,0,11,1,0,2,1.024979,-1.51528,-0.53716105,9.4296827,1,1.9924001,27.639999,0.99629569,164.272
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C[N+H3])(C3)CC2,496,320,481.96054,481.96054,2,6,1,0,17,1,3,3,0.58023351,-2.5143602,-0.8612029,8.8953934,4,1.72022,71.010002,0.98743635,314.405
Clc1c(NC(=O)C=2C(=O)Nc3nc(OC)ncc3C=2)cc(C(=O)NC(C[N+H3])C2CCCCC2)cc1,491,317,756.17334,756.17334,5,12,1,3,20,6,4,9,1.991684,-1.187259,-3.3667476,7.4748559,4,2.0334001,149.95,0.74380147,499.979
O=C1N(C)c2c3OCC(C[N+H3])N4C(=O)C=C(C)c(c34)cc2C(C)=C1,484,1114,506.18695,506.18695,3,6,1,0,16,3,3,1,2.1879101,-1.9342127,-1.5678234,7.8882384,4,0.81910002,77.489998,0.88546622,326.37601
O=C1Oc2c(C)c3oc(C)c(C[N+H3])c3cc2C(C)=C1,476,817,459.28522,459.28522,1,9,1,0,12,1,3,1,1.2228343,-1.7321477,-1.1472274,8.9811802,3,2.38024,67.080002,0.98966509,258.297
O=[S@@H0]1c2c(cccc2)CN(c2[n+H]c3c(c(NCC4([N+H3])COC4)c2)cc(C)cc3)CC1,467,826,657.56104,657.56104,2,16,4,0,22,4,2,4,1.0126966,-3.4940245,-1.2876414,6.3479991,5,1.77932,102.56,1.15742,424.569
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](C[N+H3])[C@H]2OC1)c1ccc(-c2ccccc2)cc1,453,1290,580.95612,580.95612,5,12,1,0,19,1,5,5,0.44801715,-2.6204896,-1.5345926,8.9728937,4,1.0832,89.470001,0.9894681,376.453
O=C(N)c1c(Nc2nc(C)c(C)cc2)cc(N[C@H]2[C@@H]([N+H3])CCCC2)nn1,451,840,594.40717,594.40717,4,12,1,3,15,7,1,5,-1.6126207,-4.2786026,-0.53170878,9.2278643,3,1.29594,133.46001,1.0597671,356.45398
[N+H3]C1CCC(Nc2nc(-n3nnc4c3cccc4)ccn2)CC1,439,540,537.13202,537.13202,4,15,1,1,14,7,0,3,-1.462963,-3.5523791,-0.94218367,9.890295,4,1.1755,96.160004,0.9997955,310.38501
Clc1cc(NC(=O)c2cc3c(cc2)CC([N+H3])CC3)ccc1,438,1871,514.44751,514.44751,1,12,1,1,17,2,1,3,1.1648299,-1.1569537,-1.7681788,9.6303158,3,2.6914401,56.740002,0.99766296,301.797
Clc1ccc(-c2nc([C@@H]3[C@H](F)[C@@H](C[N+H3])O3)on2)cc1,429,2161,497.74454,497.74454,3,11,1,0,12,3,2,3,0.88736963,-3.0387459,-0.49501729,8.0606222,3,1.5053999,75.790001,0.9199872,284.698
S(=O)(=O)(c1cc2c([C@H](C[N+H3])CCC2)cc1)c1ccccc1,425,539,482.94022,482.94022,2,12,1,0,17,1,2,3,0.91584772,-1.3758123,-1.5632614,9.7457504,3,2.18117,61.779999,0.99820745,302.418
Fc1c(C=2S[C@](CCC[N+H3])(N(C(=O)N(OC)C)N=2)c2ccccc2)cc(F)cc1,422,99,607.0141,607.0141,3,12,1,0,21,4,2,8,1.1226,-1.131322,-2.6707864,9.8492022,3,3.4749999,72.779999,0.99859619,421.492
OC[C@@]1(C)[C@H]2[C@@](C)(c3c(cc(C(C)C)c(C[N+H3])c3)CC2)CCC1,414,196,488.35477,488.35477,1,6,1,1,21,1,1,3,3.2523437,0.68346608,-2.0303996,9.3925495,3,3.8208699,47.869999,0.99596637,316.509
FC(F)(F)C(N)CCNc1c2c([n+H]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,413,154,693.71442,693.71442,3,16,3,1,25,4,2,6,3.1396697,2.6010559,-4.725976,6.9296479,4,3.71422,89.57,0.61885971,479.547
Fc1ccc(-c2ccc(C[N+H3])cc2)cc1,408,894,398.42471,398.42471,0,12,1,0,14,1,0,2,0.78601718,-1.7841442,-0.47704074,9.3973598,2,2.5009999,27.639999,0.9960106,202.252
Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CC([N+H3])CC2)cc1,406,796,571.85052,571.85052,3,11,1,1,15,6,1,4,0.48990899,-2.3294318,-1.8437638,9.1150723,4,1.796,90.160004,0.99239904,357.82498
S(=O)(=O)(Nc1cc2c(C(C[N+H3])CCC2)cc1)c1cc(F)ccc1,403,494,520.99805,520.99805,2,12,1,1,18,2,2,4,0.93447191,-1.6933585,-1.523875,6.4558954,3,2.28827,73.809998,0.22152239,335.423
S(=O)(=O)(NCCCCCC[N+H3])c1c2c(ccc1)cccc2,399,108,533.18671,533.18671,2,10,1,1,16,2,2,8,-0.55327243,-2.5107355,-0.78833717,10.059278,2,1.9204,73.809998,0.99912834,307.43799
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[N+H3])CC4)ccnc2cc1,399,458,603.46802,603.46802,3,10,1,0,21,3,2,5,-0.27300638,-2.3968718,-1.8545133,9.9003477,4,3.3715,70.07,1.0437722,384.52399
O=[SH0]1c2c(cccc2)CN(c2nc(NCC3([N+H3])COC3)c3c(n2)cccc3)CC1,388,3066,632.46863,632.46863,4,16,1,1,19,5,2,4,0.12082557,-4.1384573,-1.3535202,7.602603,5,1.4468,114.2,1.1956924,410.522
[N+H3]CCC(c1ccccc1)c1ccccc1,364,61,412.1944,412.1944,0,12,1,0,15,1,0,4,0.61902595,-1.5756444,-0.84372926,9.8982515,2,2.4505,27.639999,0.99873757,212.31599
FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@H](NC(=O)C[N+H3])Cc1c(F)cc(F)c(F)c1)CC2,359,42,652.72253,652.72253,4,11,1,1,20,6,2,9,1.5571178,-2.9622443,-1.5837473,7.3320379,3,1.26017,107.76,0.68233979,465.37799
O=C(OC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)CN,353,328,577.09949,577.09949,4,6,0,1,18,1,5,6,2.1845911,2.2619379,-3.9310248,14,4,1.98022,95.690002,0.16314095,371.43298
[N+H3]CC(c1ccccc1)c1ccccc1,351,1155,390.55099,390.55099,0,12,1,0,14,1,0,3,0.70294738,-1.7548035,-0.47490153,9.5578403,2,2.0604,27.639999,0.99723971,198.289
[N+H3]C(c1ccccc1)c1ccccc1,346,415,376.06635,376.06635,0,12,1,0,13,1,0,2,1.124738,-1.7219182,-0.42830053,8.8650618,2,2.1134,27.639999,0.98653978,184.26199
O=C(OCC1c2c(-c3c1cccc3)cccc2)N1CCC([N+H3])CC1,337,1181,559.31482,559.31482,1,12,1,0,19,2,2,4,0.80111992,-1.9985365,-1.4343938,9.1850166,4,2.6417999,57.18,0.99351132,323.41599
Fc1c2n(C)cc(C#N)c2cc(C(CC[N+H3])c2ccccc2)c1,332,911,540.66638,540.66638,1,15,1,0,19,3,0,5,1.4655894,-0.74799204,-2.2649627,9.877655,3,3.3121841,56.360001,0.99867636,308.38
O(CCCO)c1cc(C(O)C[N+H3])ccc1,330,1731,423.42792,423.42792,3,6,1,2,11,1,3,6,-1.1993039,-4.2088475,1.5485088,9.0205784,1,-0.1814,77.330002,0.9905529,212.269
FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@H](NC(=O)CC[N+H3])Cc1c(F)cc(F)c(F)c1)CC2,323,268,680.30231,680.30231,4,11,1,1,21,6,2,10,0.63743013,-2.7651906,-1.7611573,8.699131,3,1.65027,107.76,0.98039931,479.405
O=C(NCC(O)c1c(OC)ccc(OC)c1)C[N+H3],322,244,489.47452,489.47452,4,6,1,2,11,2,4,7,-0.16114289,-4.6832919,1.4167778,7.3323994,1,-0.80919999,95.43,0.68252009,255.29399
O[C@@]12C(=C)C[C@]3([C@@H]([N+H3])c4c(C)cccc4[C@H]3CC1)C2,320,756,437.48526,437.48526,1,6,1,1,17,1,1,0,-0.13189358,-2.7425082,-0.2928021,9.1130095,4,2.33202,47.869999,0.9923501,256.36899
O=C(O[C@@]12C(=C)C[C@]3([C@@H](C[N+H3])c4c(C)cccc4[C@H]3CC1)C2)C,317,922,489.06564,489.06564,1,6,1,0,19,1,2,3,0.28790349,-2.0884395,-1.1264085,9.6407652,4,2.8498199,53.939999,0.99771839,312.43298
F[C@@H]([C@H](O)C(F)(F)F)[C@@](N)(C)c1c(F)ccc(NC(=O)c2c(C)cc(C#N)cn2)n1,307,132,617.7016,617.7016,6,12,0,3,20,5,2,8,2.6699495,2.6982396,-4.5669117,11.619391,2,2.7948041,124.92,0.06302651,429.349
O=C(OC)[C@@]1(C)[C@@H]2[C@@](C)(c3c(cc(C(C)C)c(C[N+H3])c3)CC2)CCC1,305,749,533.23004,533.23004,1,6,1,0,21,1,2,4,3.3485317,0.77492833,-2.443984,9.3877554,3,4.0015702,53.939999,0.99592179,344.51898
FC(F)(F)c1ccc(CNC(=O)c2cc3c(cc2)CC([N+H3])CC3)cc1,304,944,568.8457,568.8457,1,12,1,1,21,2,1,5,1.1806836,-1.1357003,-1.8287896,9.6357145,3,3.3124399,56.740002,0.99769175,349.37598
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](C[N+H3])[C@H]2OC1)c1ccc(C)cc1,301,632,501.31738,501.31738,5,6,1,0,14,1,5,4,-0.77252138,-3.8409734,0.18491156,8.9729557,3,-0.27537999,89.470001,0.98946959,314.38199
O=C(Nc1cc2OC[C@H]([N+H3])Cc2cc1)c1c(C)c(OCC)n[nH]1,287,899,562.65887,562.65887,4,11,1,3,14,4,3,5,-0.34028867,-3.7493505,-0.2821404,8.449522,3,0.91448998,103.88,0.96527231,317.36899
O=C1N(C)c2c(cc(-c3c4c([C@H]([N+H3])CCC4)cnc3)cc2)CC1,287,437,506.37137,506.37137,2,12,1,0,18,3,1,1,1.3742688,-1.7938336,-1.5720372,8.6530876,4,2.37234,60.84,0.98326486,308.405
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccc(-c2ccccc2)cc1,282,1965,559.57678,559.57678,5,12,1,0,18,1,5,4,1.3729649,-2.7080724,-1.4172179,7.7088027,4,0.83560002,89.470001,0.83645409,362.42599
O(C)c1c(C[N+H3])ccc(OC)c1,279,206,362.29813,362.29813,2,6,1,0,9,1,2,3,-0.75065798,-3.7071393,1.2446414,8.9939756,1,0.71210003,46.099998,0.9899621,168.216
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccccc1,278,616,453.51578,453.51578,5,6,1,0,12,1,5,3,-0.34719691,-4.4280901,0.6473121,7.7089963,3,-0.83139998,89.470001,0.83651519,286.328
S(=O)(=O)(c1n(C)ccn1)c1cc2c([C@H](C[N+H3])CCC2)cc1,274,276,486.82202,486.82202,3,11,1,0,14,3,2,3,0.030939119,-2.2658038,-1.0635049,9.7406092,3,1.27387,79.599998,0.99818617,306.41
O=C(NCC(C)C)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([N+H3])[C@](C)(C3)CC2,270,67,540.80573,540.80573,1,6,1,1,21,2,1,4,0.59368181,-1.3845526,-1.6143229,9.8886776,4,3.1388199,56.740002,0.9987095,341.51898
Clc1c(-c2n(C)ncc2Cl)cc(C(=O)N[C@H](C[N+H3])Cc2cc(F)c(F)cc2)o1,259,104,633.42987,633.42987,2,16,1,1,19,4,2,7,3.1347599,-0.20113569,-3.2107105,8.7369528,3,3.2072699,87.699997,0.98413193,430.26199
FC(F)(F)c1cnc(Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)nc1,257,1092,498.50461,498.50461,2,12,1,1,17,4,0,3,0.027795218,-2.1344526,-1.1107067,9.7877712,3,2.6496401,65.449997,0.99837434,309.315
O[C@@H]([C@@H]([N+H3])C)c1cc(O)c(O)cc1,253,462,342.0303,342.0303,3,6,1,3,9,1,3,2,-1.9671354,-4.6514935,1.9266919,8.3950396,1,-0.1429,88.330002,0.96102798,184.215
O=C(N(CC)CC)[C@]1([C@@H](C[N+H3])C1)c1ccccc1,251,445,441.54291,441.54291,1,6,1,0,14,2,1,6,-0.28704959,-2.8345506,-0.060597479,9.4817371,2,1.0546,47.950001,0.99671274,247.362
O=C(Nc1cc2OC[C@H]([N+H3])Cc2cc1)c1c(C)c(CC)[nH]n1,245,555,535.36005,535.36005,4,11,1,3,15,4,2,4,-0.059317671,-3.4129398,-0.41197586,8.5654497,3,1.07816,94.650002,0.97351825,301.37
O=C1[C@]2(C)[C@@H](O)[C@H](O1)C=C1[C@H]2[C@H]([N+H3])[C@@]23[C@H]1CC[C@@](O)(C(=C)C2)C3,242,330,435.26105,435.26105,3,0,1,2,17,1,4,0,-2.1315141,-5.0500827,0.68226677,8.8666077,5,-0.063199997,94.400002,0.98658693,318.39301
O=C1N(CC[N+H3])N=C(c2cc3c(cc2)CCC3)c2c1cccc2,242,282,521.21442,521.21442,2,12,1,0,17,3,1,3,3.2806356,-0.90949643,-2.1214116,7.8744178,4,1.62534,60.310001,0.88220274,306.38901
S(=O)(=O)(c1c([O-])c2c([C@H](C[N+H3])CCC2)cc1)c1cc(F)ccc1,241,402,500.97189,500.97189,2,12,1,0,17,1,3,3,0.42692426,-1.6118004,-1.9162518,9.8766184,3,2.4640701,84.839996,0.74704707,335.39899
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1,240,552,450.96307,450.96307,3,6,1,0,13,1,3,3,-0.46027488,-4.3654184,1.0813147,7.9043183,3,0.2463,55.330002,0.8891679,236.291
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccc(N)cc1,235,331,470.86832,470.86832,5,6,1,1,12,2,5,3,-1.0366396,-5.1160145,0.98044628,7.710701,3,-1.2492,115.49,0.83705121,301.34299
S(=O)(=O)(NCC[N+H3])c1c2c(cncc2)ccc1,235,316,421.11996,421.11996,3,10,1,1,11,3,2,4,-0.97158951,-4.2533455,0.45216459,8.7087879,2,-0.245,86.699997,0.99022996,252.31799
O(C)c1c(OC)ccc(CC[N+H3])c1,233,255,390.89285,390.89285,2,6,1,0,10,1,2,4,-1.2871722,-3.5649071,1.0804796,9.8067236,1,0.48817,46.099998,0.99844187,182.243
S(=O)(=O)(c1cc2c([C@H](C[N+H3])CCC2)cc1)c1ccccc1,232,245,482.94022,482.94022,2,12,1,0,17,1,2,3,0.91584772,-1.3758123,-1.5632614,9.7457504,3,2.18117,61.779999,0.99820745,302.418
O[C@H](C[C@H](O)CC[C@H]1[C@@H](C)C=CC=2[C@@H]1[C@@H](O)C[C@@H](C)C=2)CC[N+H3],231,323,552.05579,552.05579,3,0,1,3,19,1,3,7,-0.22942458,-2.7037082,0.20044497,9.636014,2,1.2759,88.330002,0.99769336,324.48499
Clc1ccc(-c2ccc(C[N+H3])cc2)cc1,231,525,413.55026,413.55026,0,12,1,0,14,1,0,2,1.3890032,-1.1397243,-1.0482585,9.4375267,2,3.0153,27.639999,0.99636179,218.707
O=C(N[C@@H](C(=O)N1C[C@](C(=O)N(N(C)C)C)(Cc2ccccc2)CCC1)Cc1c2c([nH]c1)cccc2)C([N+H3])(C)C,226,426,772.40454,772.40454,4,15,1,2,28,6,3,12,2.7468038,-1.2836138,-3.44818,7.7604027,4,2.00214,116.39,0.85206521,547.724
O=C1N(C)c2c(cc(-c3cc(C[N+H3])cnc3)cc2)CC1,225,301,481.46021,481.46021,2,12,1,0,15,3,1,2,0.8730284,-2.4787843,-0.821118,8.5968094,3,1.66587,60.84,0.97894919,268.34
O(C)c1cc2c([C@H](N)[C@H]3[N@@]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,224,167,495.05951,495.05951,4,10,0,1,20,3,1,4,0.37776002,2.4333987,-3.9159105,14,4,3.2351,51.380001,1.1316494,323.44
Clc1cc2c(C(=O)N(c3c4c(C([N+H3])CCC4)cnc3)C2)cc1,222,500,491.66599,491.66599,2,12,1,0,17,3,1,1,1.5209116,-1.6271695,-1.8730843,8.672266,4,2.87657,60.84,0.98377544,314.79599
O=C(N[C@H]1[C@H](OC(CC)CC)C=C(C(=O)OCC)C[C@@H]1[N+H3])C,218,83,555.44434,555.44434,3,0,1,1,14,2,4,9,0.29698372,-3.8931043,0.45026669,7.6590362,1,0.5686,92.269997,0.82016808,313.418
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+H3])[C@H]3OC2)cc1,217,1647,491.39493,491.39493,5,6,1,0,13,1,5,3,0.51787472,-3.563195,-0.20653823,7.7087364,3,-0.068899997,89.470001,0.83643323,365.224
O(CC)c1ccc(/C=C\2/C(=O)N(CC[N+H3])C(=O)S/2)cc1,217,140,511.47784,511.47784,3,6,1,0,13,2,3,5,1.8539379,-2.1931326,-1.1120816,8.0324697,2,1.3635,74.25,0.91508377,293.367
F[C@@H]1[C@@H](C[N+H3])O[C@@H]1c1onc(-c2ccccc2)n1,213,1867,473.00238,473.00238,3,11,1,0,11,3,2,3,0.23010418,-3.6984413,0.15745506,8.0581779,3,0.852,75.790001,0.91957194,250.25299
O(C)c1cc(Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)ccc1,213,1040,493.77368,493.77368,1,12,1,1,17,2,1,3,0.43280262,-1.7014912,-0.98550999,9.8157196,3,2.53794,48.900002,0.99847376,269.36798
S(=O)(=O)(c1cc(F)c2[C@H](C[N+H3])CCCc2c1)c1cc(F)ccc1,212,541,501.04373,501.04373,2,12,1,0,19,1,2,3,1.4731191,-1.0899361,-1.8934395,9.4735994,3,2.4593699,61.779999,0.99665076,338.39798
O=[SH0]1c2c(cccc2)CN(c2nc(NCC3([N+H3])COC3)c3sc(C)cc3n2)CC1,212,549,647.7168,647.7168,4,15,1,1,19,5,2,4,0.2856096,-4.1661453,-1.6501445,8.3608141,5,1.81672,114.2,1.4058889,430.577
O=C1N(c2cnc(C[N+H3])nc2)c2c(C1(C)C)ccc(-c1cnc(C)nc1)c2,193,130,598.12012,598.12012,5,18,1,0,17,6,1,3,1.6139182,-2.2381089,-2.2234461,7.9882045,4,2.2062199,99.510002,0.90839851,361.42899
O=[S@H0]1c2c(cccc2)CN(c2nc(NCC3([N+H3])COC3)c3sccc3n2)CC1,191,275,617.64056,617.64056,4,15,1,1,18,5,2,4,0.050585028,-4.3966074,-1.410331,8.3359146,5,1.5082999,114.2,1.4027271,416.54999
O=C1N(C)C(=O)C=CN1Cc1c(C[N+H3])cccc1,185,294,440.9585,440.9585,2,6,1,0,11,3,2,3,-0.33400455,-3.100471,-0.077773906,9.200572,2,0.86900002,68.260002,0.99373817,246.28999
S(=O)(=O)(N(C)c1cc2c(C(C[N+H3])CCC2)cc1)c1cc(F)ccc1,182,231,535.06525,535.06525,2,12,1,0,19,2,2,4,1.0401027,-1.0742496,-1.956393,9.9194756,3,2.3125701,65.019997,0.99879771,349.44998
FC(F)(F)c1ccc(/C(=N\OCC[N+H3])/CCCCOC)cc1,168,,567.97137,567.97137,2,6,1,0,17,2,2,10,1.4019281,-2.37358,-0.37515903,8.2937069,1,2.7962,58.459999,0.95161039,319.34698
O=C(O[C@H]1[C@H](CC(C)C)C[N+H]2[C@@H](c3c(cc(OC)c(OC)c3)CC2)C1)[C@@H]([N+H3])C(C)C,167,119,683.75555,683.75555,3,6,2,0,23,2,4,8,2.4241009,-3.8762145,-0.22574526,6.7409339,3,1.5256701,76.839996,1.2573063,420.59399
O=C([C@@H]([N+H3])C12CC3(O)C[C@H](C1)C[C@@H](C3)C2)N1[C@H](C#N)C[C@H]2[C@@H]1C2,163,205,487.63239,487.63239,3,0,1,1,16,3,2,4,-0.12072978,-4.34761,0.15321046,7.3771172,5,0.44118401,91.970001,0.70440108,316.42499
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccc(C)cc1,163,877,477.43259,477.43259,5,6,1,0,13,1,5,3,0.15233435,-3.9285674,0.30229563,7.7089801,3,-0.52297997,89.470001,0.83651,300.35498
[N+H3]C1c2c(c(-c3ccc(C#N)cc3)cnc2)CCC1,161,929,451.19272,451.19272,2,12,1,0,15,3,0,2,1.3757331,-1.8117359,-1.2610649,8.6354609,3,2.3350539,64.32,0.98045385,250.325
O(CC[N+H3])c1cc(-c2cc3c(N(C)C(=O)CC3)cc2)cnc1,158,370,534.44897,534.44897,3,12,1,0,16,3,2,4,0.69293904,-2.6352375,-0.84381497,8.7488499,3,1.27827,70.07,0.9858771,298.366
